r_um,fluence_mJ_cm2
2.469565217391304301e+01,1.264462809917355379e+01
2.486956521739130466e+01,1.239669421487603351e+01
2.504347826086956630e+01,1.227272727272727337e+01
2.521739130434782439e+01,1.206611570247933862e+01
2.539130434782608603e+01,1.190082644628099118e+01
2.556521739130434767e+01,1.177685950413223104e+01
2.573913043478260931e+01,1.157024793388429806e+01
2.591304347826087096e+01,1.144628099173553792e+01
2.608695652173912904e+01,1.119834710743801587e+01
2.626086956521739069e+01,1.107438016528925573e+01
2.643478260869565233e+01,1.090909090909090828e+01
2.660869565217391397e+01,1.078512396694214814e+01
2.678260869565217561e+01,1.057851239669421517e+01
2.695652173913043370e+01,1.045454545454545503e+01
2.713043478260869534e+01,1.024793388429752028e+01
2.730434782608695699e+01,1.016528925619834745e+01
2.747826086956521863e+01,9.917355371900827166e+00
2.765217391304347672e+01,9.834710743801652555e+00
2.782608695652173836e+01,9.669421487603305110e+00
2.800000000000000000e+01,9.504132231404959441e+00
2.817391304347826164e+01,9.338842975206611996e+00
2.834782608695652328e+01,9.173553719008264551e+00
2.852173913043478137e+01,9.090909090909091717e+00
2.869565217391304301e+01,8.925619834710744271e+00
2.886956521739130466e+01,8.760330578512396826e+00
2.904347826086956630e+01,8.636363636363636687e+00
2.921739130434782439e+01,8.512396694214876547e+00
2.939130434782608603e+01,8.347107438016529102e+00
2.956521739130434767e+01,8.223140495867768962e+00
2.973913043478260931e+01,8.057851239669421517e+00
2.991304347826087096e+01,7.975206611570247794e+00
3.008695652173912904e+01,7.809917355371901238e+00
3.026086956521739069e+01,7.685950413223140210e+00
3.043478260869565233e+01,7.561983471074380070e+00
3.060869565217391397e+01,7.396694214876032625e+00
3.078260869565217561e+01,7.314049586776859790e+00
3.095652173913043370e+01,7.148760330578512345e+00
3.113043478260869534e+01,7.066115702479338623e+00
3.130434782608695699e+01,6.900826446280992066e+00
3.147826086956521863e+01,6.776859504132231038e+00
3.165217391304347672e+01,6.652892561983470898e+00
3.182608695652173836e+01,6.570247933884297176e+00
3.200000000000000000e+01,6.487603305785124341e+00
3.217391304347825809e+01,6.322314049586776896e+00
3.234782608695652328e+01,6.157024793388429451e+00
3.252173913043478137e+01,6.115702479338843034e+00
3.269565217391304657e+01,5.991735537190082894e+00
3.286956521739130466e+01,5.867768595041322754e+00
3.304347826086956275e+01,5.785123966942149032e+00
3.321739130434782794e+01,5.661157024793388004e+00
3.339130434782608603e+01,5.578512396694215170e+00
3.356521739130435122e+01,5.454545454545454142e+00
3.373913043478260931e+01,5.330578512396694002e+00
3.391304347826086740e+01,5.247933884297520279e+00
3.408695652173913260e+01,5.123966942148760140e+00
3.426086956521739069e+01,5.041322314049586417e+00
3.443478260869564878e+01,4.958677685950413583e+00
